latitude,longitude,name
15.3334271,-4.1411406,Lake Débo
15.3972927,-3.781919,Korientzé
15.8234313,-3.6968455,Saraféré
15.70352,-3.88518,Kobé
13.9053952,-4.5559954,Djenne
13.5027226,-2.4653598,Sissamba
13.89831,-5.57541,Wahigouya
20.4615121,-12.3664341,Chinguetti
12.95,-2.61667,Bisma
13.288015,-5.3131771,Bani
14.3489479,-3.609117,Bandiagara
15.0045218,-2.9550619,Douentza
11.55624,-5.01949,Fakara
16.2639807,-0.0279867,Gao
14.5844,-3.08129,Ankaba
16.2661738,-3.4044187,Diré
13.9805592,-4.2882089,Kounti
14.2462,-4.14496,Kounia
14.7789832,-3.2592855,Dé
15.21079,-2.74825,Kikara
18.54778,-2.33417,Azaouad
13.3375736,-1.3679461,Nasséré
13.0166,9.1858,Lolo
13.3363,2.2942,Moli
16.08751,-3.15194,Mati
15.3533,0.7607,Koukiya
16.7665887,-3.0025615,Timbuktu
16.2639807,-0.0279867,Gao
16.37789,-3.37775,Arham
16.4175955,-3.664859,Goundam
13.63012,8.45848,Massina
11.4942003,4.2333355,Kebbi
16.7108731,-2.9850562,Kabara
15.5218,-4.3117,Aore
13.9053952,-4.5559954,Djenne
15.3827468,-4.2437705,Issa Ber
16.1503849,-3.4674753,Bara Issa
16.284551,-3.68454,Lac Fati
17.2990071,-7.0216191,Walatah
13.6249344,-2.3813621,Yatenga
13.4182126,-4.1897355,Bambara
